Sample ID ,Plates,Type,Sample_or_control,point
DP-01-1_D25,plate1,Dust,sample,1
DP-01-2_D25,plate1,Dust,sample,1
DP-01-3_D25,plate1,Dust,sample,1
DP-01-1_D75,plate1,Dust,sample,1
DP-01-2_D75,plate1,Dust,sample,1
DP-01-3_D75,plate1,Dust,sample,1
DP01-1_D500,plate1,Dust,sample,1
DP01-2_D500,plate1,Dust,sample,1
DP01-3_D500,plate1,Dust,sample,1
DP01-1_DG,plate1,Dust,sample,1
DP01-2_DG,plate1,Dust,sample,1
DP01-3_DG,plate1,Dust,sample,1
DP-10-1_D25,plate1,Dust,sample,10
DP-10-2_D25,plate1,Dust,sample,10
DP-10-3_D25,plate1,Dust,sample,10
DP10-1_D75,plate1,Dust,sample,10
DP10-2_D75,plate1,Dust,sample,10
DP10-3_D75,plate1,Dust,sample,10
DP10-1_D500,plate1,Dust,sample,10
DP10-2_D500,plate1,Dust,sample,10
DP10-3_D500,plate1,Dust,sample,10
DP10-1_DG,plate1,Dust,sample,10
DP10-2_DG,plate1,Dust,sample,10
DP10-3_DG,plate1,Dust,sample,10
DP-11-1_D25,plate1,Dust,sample,11
DP-11-2_D25,plate1,Dust,sample,11
DP-11-3_D25,plate1,Dust,sample,11
DP11-1_D75,plate1,Dust,sample,11
DP11-2_D75,plate1,Dust,sample,11
DP11-3_D75,plate1,Dust,sample,11
DP11-1_D500,plate1,Dust,sample,11
DP11-2_D500,plate1,Dust,sample,11
DP11-3_D500,plate1,Dust,sample,11
DP11-1_DG,plate1,Dust,sample,11
DP11-2_DG,plate1,Dust,sample,11
DP11-3_DG,plate1,Dust,sample,11
DP-18-1_D25,plate1,Dust,sample,18
DP-18-2_D25,plate1,Dust,sample,18
DP-18-3_D25,plate1,Dust,sample,18
DP18-1_D75,plate1,Dust,sample,18
DP18-2_D75,plate1,Dust,sample,18
DP18-3_D75,plate1,Dust,sample,18
DP18-1_D500,plate1,Dust,sample,18
DP18-2_D500,plate1,Dust,sample,18
DP18-3_D500,plate1,Dust,sample,18
DP18-1_DG,plate1,Dust,sample,18
DP18-2_DG,plate1,Dust,sample,18
DP18-3_DG,plate1,Dust,sample,18
DP-26-1_D25,plate1,Dust,sample,26
DP-26-2_D25,plate1,Dust,sample,26
DP-26-3_D25,plate1,Dust,sample,26
DP26-1_D75,plate1,Dust,sample,26
DP26-2_D75,plate1,Dust,sample,26
DP26-3_D75,plate1,Dust,sample,26
DP26-1_D500,plate1,Dust,sample,26
DP26-2_D500,plate1,Dust,sample,26
DP26-3_D500,plate1,Dust,sample,26
DP26-1_DG,plate1,Dust,sample,26
DP26-2_DG,plate1,Dust,sample,26
DP26-3_DG,plate1,Dust,sample,26
B_blank_1,plate1,B_blank,control,NA
B_blank_2,plate1,B_blank,control,NA
B_blank_3,plate1,B_blank,control,NA
BLANK,plate1,Amp_blank,control,NA
ZYMO,plate1,Zymo,sample,NA
DP01-01-S,plate2,Soil,sample,1
DP01-02-S,plate2,Soil,sample,1
DP01-03-S,plate2,Soil,sample,1
DP02-01-S,plate2,Soil,sample,2
DP02-02-S,plate2,Soil,sample,2
DP02-03-S,plate2,Soil,sample,2
DP03-01-S,plate2,Soil,sample,3
DP03-02-S,plate2,Soil,sample,3
DP03-03-S,plate2,Soil,sample,3
DP04-01-S,plate2,Soil,sample,4
