X.SampleID,Dust_Type,Point_type,Repetition
DP-01-1_D25,25,Picacho_Peak,1
DP-01-2_D25,25,Picacho_Peak,2
DP-01-3_D25,25,Picacho_Peak,3
DP-01-1_D75,75,Picacho_Peak,1
DP-01-2_D75,75,Picacho_Peak,2
DP-01-3_D75,75,Picacho_Peak,3
DP01-1_D500,500,Picacho_Peak,1
DP01-2_D500,500,Picacho_Peak,2
DP01-3_D500,500,Picacho_Peak,3
DP01-1_DG,Dust_Gen,Picacho_Peak,1
DP01-2_DG,Dust_Gen,Picacho_Peak,2
DP01-3_DG,Dust_Gen,Picacho_Peak,3
DP-10-1_D25,25,Santa_Cruz_River_bank,1
DP-10-2_D25,25,Santa_Cruz_River_bank,2
DP-10-3_D25,25,Santa_Cruz_River_bank,3
DP10-1_D75,75,Santa_Cruz_River_bank,1
DP10-2_D75,75,Santa_Cruz_River_bank,2
DP10-3_D75,75,Santa_Cruz_River_bank,3
DP10-1_D500,500,Santa_Cruz_River_bank,1
DP10-2_D500,500,Santa_Cruz_River_bank,2
DP10-3_D500,500,Santa_Cruz_River_bank,3
DP10-1_DG,Dust_Gen,Santa_Cruz_River_bank,1
DP10-2_DG,Dust_Gen,Santa_Cruz_River_bank,2
DP10-3_DG,Dust_Gen,Santa_Cruz_River_bank,3
DP-11-1_D25,25,Desert_shrub_1,1
DP-11-2_D25,25,Desert_shrub_1,2
DP-11-3_D25,25,Desert_shrub_1,3
DP11-1_D75,75,Desert_shrub_1,1
DP11-2_D75,75,Desert_shrub_1,2
DP11-3_D75,75,Desert_shrub_1,3
DP11-1_D500,500,Desert_shrub_1,1
DP11-2_D500,500,Desert_shrub_1,2
DP11-3_D500,500,Desert_shrub_1,3
DP11-1_DG,Dust_Gen,Desert_shrub_1,1
DP11-2_DG,Dust_Gen,Desert_shrub_1,2
DP11-3_DG,Dust_Gen,Desert_shrub_1,3
DP-18-1_D25,25,Desert_shrub_2,1
DP-18-2_D25,25,Desert_shrub_2,2
DP-18-3_D25,25,Desert_shrub_2,3
DP18-1_D75,75,Desert_shrub_2,1
DP18-2_D75,75,Desert_shrub_2,2
DP18-3_D75,75,Desert_shrub_2,3
DP18-1_D500,500,Desert_shrub_2,1
DP18-2_D500,500,Desert_shrub_2,2
DP18-3_D500,500,Desert_shrub_2,3
DP18-1_DG,Dust_Gen,Desert_shrub_2,1
DP18-2_DG,Dust_Gen,Desert_shrub_2,2
DP18-3_DG,Dust_Gen,Desert_shrub_2,3
DP-26-1_D25,25,Willcox_playa,1
DP-26-2_D25,25,Willcox_playa,2
DP-26-3_D25,25,Willcox_playa,3
DP26-1_D75,75,Willcox_playa,1
DP26-2_D75,75,Willcox_playa,2
DP26-3_D75,75,Willcox_playa,3
DP26-1_D500,500,Willcox_playa,1
DP26-2_D500,500,Willcox_playa,2
DP26-3_D500,500,Willcox_playa,3
DP26-1_DG,Dust_Gen,Willcox_playa,1
DP26-2_DG,Dust_Gen,Willcox_playa,2
DP26-3_DG,Dust_Gen,Willcox_playa,3
DP01-01-S,Soil,Picacho_Peak,1
DP01-02-S,Soil,Picacho_Peak,2
DP01-03-S,Soil,Picacho_Peak,3
DP10-01-S,Soil,Santa_Cruz_River_bank,1
DP10-02-S,Soil,Santa_Cruz_River_bank,2
DP10-03-S,Soil,Santa_Cruz_River_bank,3
DP11-01-S,Soil,Desert_shrub_1,1
DP11-02-S,Soil,Desert_shrub_1,2
DP11-03-S,Soil,Desert_shrub_1,3
DP18-01-S,Soil,Desert_shrub_2,1
DP18-02-S,Soil,Desert_shrub_2,2
DP18-03-S,Soil,Desert_shrub_2,3
DP26-01-S,Soil,Willcox_playa,1
DP26-02-S,Soil,Willcox_playa,2
DP26-03-S,Soil,Willcox_playa,3
