SampleID,point,sample,pH,macro_micro_ratio,micro_tot,macro_tot,sand_tot,NDVI_sept,N%,C%,C/N,Conductivity,Inorganic_carbon,Organic_carbon(%)
DP01-01-S,1,1,7.83,0.130136986,1.46,0.19,0.46,0.32885,0.032,0.228,7.125,93.5,0.023599782,0.204400218
DP01-02-S,1,2,7.66,0.166666667,1.44,0.24,0.42,0.32885,0.033,0.254,7.696969697,117.5,0.072539424,0.181460576
DP01-03-S,1,3,7.47,0.144827586,1.45,0.21,0.47,0.32885,0.029,0.206,7.103448276,91.3,0.019521479,0.186478521
DP02-01-S,2,1,6.66,0.161290323,1.24,0.2,0.75,0.23103999,0.068,0.902,13.26470588,136.2,0.019521479,0.882478521
DP02-02-S,2,2,6.93,0.205357143,1.12,0.23,0.79,0.23103999,0.053,0.626,11.81132075,122.7,0.019521479,0.606478521
DP02-03-S,2,3,6.86,0.208333333,0.96,0.2,0.98,0.23103999,0.056,0.596,10.64285714,130.6,0.035834693,0.560165307
DP03-01-S,3,1,7.38,0.28440367,1.09,0.31,0.66,0.29091999,0.047,0.585,12.44680851,112.4,0.06846112,0.51653888
DP03-02-S,3,2,7.42,0.166666667,1.38,0.23,0.48,0.29091999,0.049,0.535,10.91836735,119.4,0.027678086,0.507321914
DP03-03-S,3,3,7.38,0.223021583,1.39,0.31,0.36,0.29091999,0.107,1.329,12.42056075,119.9,0.035834693,1.293165307
DP04-01-S,4,1,7.3,0.257425743,1.01,0.26,0.81,0.30598,0.035,0.277,7.914285714,141,0.019521479,0.257478521
DP04-02-S,4,2,7.43,0.232758621,1.16,0.27,0.76,0.30598,0.067,0.659,9.835820896,122.9,0.035834693,0.623165307
DP04-03-S,4,3,7.75,0.181818182,1.32,0.24,0.58,0.30598,0.074,0.771,10.41891892,136.7,0.031756389,0.739243611
DP05-01-S,5,1,7.53,0.432835821,0.67,0.29,1.11,0.26988,0.086,1.445,16.80232558,153.5,0.296846112,1.148153888
DP05-02-S,5,2,7.81,0.653333333,0.75,0.49,0.91,0.26988,0.054,0.652,12.07407407,132.6,0.272376291,0.379623709
DP05-03-S,5,3,7.52,0.425531915,0.47,0.2,1.45,0.26988,0.148,1.808,12.21621622,197.2,0.190810223,1.617189777
DP06-01-S,6,1,8.17,0.150793651,1.26,0.19,0.71,0.24083999,0.057,2.277,39.94736842,143.2,1.565198477,0.711801523
DP06-02-S,6,2,7.73,0.173913043,0.92,0.16,0.93,0.24083999,0.117,3.601,30.77777778,156.6,1.37759652,2.22340348
DP06-03-S,6,3,7.69,0.134328358,1.34,0.18,0.64,0.24083999,0.032,1.667,52.09375,129.6,0.888200109,0.778799891
DP07-01-S,7,1,6.67,0.201754386,1.14,0.23,0.73,0.29210001,0.049,0.528,10.7755102,93.6,0.019521479,0.508478521
DP07-02-S,7,2,6.76,0.306122449,0.98,0.3,0.87,0.29210001,0.053,0.584,11.01886792,89.8,0.023599782,0.560400218
DP07-03-S,7,3,6.85,0.245283019,1.06,0.26,0.77,0.29210001,0.071,0.819,11.53521127,87.4,0.011364872,0.807635128
DP08-01-S,8,1,7.53,0.268292683,1.23,0.33,0.58,0.27563,0.158,1.589,10.05696203,234.7,0.031756389,1.557243611
DP08-02-S,8,2,6.15,0.458715596,1.09,0.5,0.54,0.27563,0.235,2.182,9.285106383,332.1,0.027678086,2.154321914
DP08-03-S,8,3,7.22,0.308270677,1.33,0.41,0.58,0.27563,0.157,1.478,9.414012739,205.9,0.023599782,1.454400218
DP09-01-S,9,1,7.96,0.149253731,1.34,0.2,0.6,0.27864,0.081,0.861,10.62962963,142,0.088852637,0.772147363
DP09-02-S,9,2,8.01,0.128205128,1.56,0.2,0.34,0.27864,0.12,1.224,10.2,146.3,0.088852637,1.135147363
DP09-03-S,9,3,7.85,0.125,1.68,0.21,0.22,0.27864,0.156,1.569,10.05769231,158.3,0.121479065,1.447520935
DP10-01-S,10,1,8.6,0.122302158,1.39,0.17,0.58,0.13034,0.029,0.851,29.34482759,155.9,0.182653616,0.668346384
DP10-02-S,10,2,8.24,0.12195122,1.64,0.2,0.3,0.13034,0.026,0.861,33.11538462,150.6,0.614953779,0.246046221
DP10-03-S,10,3,8.06,0.174242424,1.32,0.23,0.58,0.13034,0.018,0.729,40.5,162.7,0.500761283,0.228238717
DP11-01-S,11,1,8.07,0.174242424,1.32,0.23,0.58,0.18361999,0.036,0.448,12.44444444,131.2,0.321315933,0.126684067
DP11-02-S,11,2,7.61,0.159663866,1.19,0.19,0.83,0.18361999,0.055,0.555,10.09090909,125.5,0.162262099,0.392737901
DP11-03-S,11,3,8.28,0.145695364,1.51,0.22,0.38,0.18361999,0.064,0.692,10.8125,150.9,0.358020663,0.333979337
DP12-01-S,12,1,7.48,0.236363636,1.1,0.26,0.7,0.1736,0.032,0.288,9,108.3,0.015443176,0.272556824
DP12-02-S,12,2,7.46,0.289473684,1.14,0.33,0.58,0.1736,0.039,0.305,7.820512821,84.47,0.023599782,0.281400218
DP12-03-S,12,3,7.47,0.285714286,1.26,0.36,0.54,0.1736,0.037,0.358,9.675675676,106.8,0.035834693,0.322165307
DP13-01-S,13,1,7.8,0.376811594,0.69,0.26,1.19,0.18068001,0.094,1.047,11.13829787,157.9,0.064382817,0.982617183
DP13-02-S,13,2,7.7,0.530612245,0.49,0.26,1.36,0.18068001,0.222,2.793,12.58108108,215,0.084774334,2.708225666
DP13-03-S,13,3,7.57,0.314285714,0.7,0.22,1.19,0.18068001,0.143,1.492,10.43356643,169.4,0.05622621,1.43577379
DP14-01-S,14,1,6.35,0.207920792,1.01,0.21,0.68,0.22596002,0.072,0.937,13.01388889,85.15,0.019521479,0.917478521
DP14-02-S,14,2,6.32,0.178294574,1.29,0.23,0.55,0.22596002,0.064,0.765,11.953125,71.98,0.027678086,0.737321914
